 36  ;total number of comment lines until data start
;TOTAL SOLAR IRRADIANCE (TSI) DATA FROM VIRGO/SOHO
;This dataset is freely available with one restriction:
;If you use the data or some product based on the data in a published 
;paper refer to e.g. C. Frohlich, D. Crommelynck, C. Wehrli, M. Anklin, S. Dewitte, 
;   A. Fichot, W. Finsterle, A. Jiménez, A. Chevalier, and H. J. Roth. 
;   "In-flight performances of VIRGO solar irradiance instruments on SOHO" 
;   Sol. Phys., 175:267–286, 1997, doi:10.1023/A:1004929108864 
;and acknowlege receipt of the updated dataset (mention version used) "of the VIRGO Experiment 
;on the cooperative ESA/NASA Mission SoHO from VIRGO Team through PMOD/WRC, Davos, Switzerland" 
;The data are available from the ftp server ftp.pmodwrc.ch in the directory 
;/data/irradiance/virgo/TSI/virgo_tsi_d_ and virgo_tsi_h_6_005_1608.dat
;for daily and hourly values respectively. 
;Virgo version 6.4 is a new way to analyse the degradation and other long-term changes in space
;and is described in "Degradation of Radiometers in Space: Application to VIRGO TSI", 
;  available at ftp://ftp.pmodwrc.ch/pub/Claus/VIRGO-TSI/VIRGO_TSI-vers64.pdf.
;In view of the differences in absolute scale between the classical radiomezters and TIM/SORCE
;  a new characterizion of the VIRGO radiometer has been performed and is described in
;  ftp://ftp.pmodwrc.ch/pub/Claus/VIRGO-TSI/VIRGO_Char2Space.pdf. The new scale can be implemented
;  by multiplying the VIRGO, PMO6V and DIARAD TSI with 0.9962805, 0.9975214 and0.9950435, respectively.
;The new VIRGO values are presented in the first irradiance column and the original valöues in the following ones.
;Publications for the new version 6.4 and the scale in the open literature are in preparation.
;Describtion of columns:
;1st col: Date (YYYYMMDD) at noon
;2nd col: TSI VIRGO new scale (Wm-2)
;3rd col: TSI VIRGO original scale (Wm-2)
;4th col: TSI DIARAD original scale (Wm-2)
;5th col: TSI PMO6-V original scale (Wm-2)
;format (i4,2i2.2,4f11.5)
;Col 2-5 contain the daily average of the corresponding day.
;Missing values are indicated by -99.
;File created Aug 09 2016
;Version: 6_005_1608
the first part is version of the procedure 
;    and the second part the YYMM month of the update
;                   level 2.0
;        VIRGO(new) Virgo(org) DIARAD(org) PMO6V (org)
19960128 1360.54291 1365.62231  -99.00000 1365.24573
19960129 1360.53683 1365.61621  -99.00000 1365.24011
19960130 1360.54936 1365.62878  -99.00000 1365.25293
19960131 1360.55799 1365.63745  -99.00000 1365.26184
19960201 1360.57453 1365.65405  -99.00000 1365.27856
19960202 1360.57137 1365.65088  -99.00000 1365.27551
19960203 1360.52966 1365.60901  -99.00000 1365.23376
19960204 1360.48563 1365.56482  -99.00000 1365.18982
19960205 1360.46265 1365.54175  -99.00000 1365.16699
19960206 1360.47238 1365.55151  -99.00000 1365.17700
19960207 1360.48369 1365.56287 1365.94800 1365.18298
19960208 1360.45632 1365.53540 1365.91187 1365.15979
19960209 1360.46094 1365.54004 1365.90442 1365.17554
19960210 1360.48588 1365.56506 1365.92908 1365.19922
19960211 1360.42908 1365.50806 1365.88147  -99.00000
19960212 1360.41315 1365.49207 1365.86548  -99.00000
19960213 1360.44538 1365.52441 1365.89771  -99.00000
19960214 1360.41096 1365.48987 1365.86279  -99.00000
19960215 1360.42884 1365.50781 1365.88013  -99.00000
19960216 1360.44635 1365.52539 1365.89709  -99.00000
19960217 1360.45340 1365.53247 1365.90344  -99.00000
19960218 1360.49706 1365.57629 1365.94678  -99.00000
19960219 1360.49378 1365.57300 1365.94312  -99.00000
19960220 1360.55885 1365.63831 1366.00806  -99.00000
19960221 1360.60360 1365.68323 1366.05298  -99.00000
19960222 1360.59071 1365.67029 1366.04993 1365.26660
19960223 1360.57466 1365.65417 1366.05835 1365.24951
19960224 1360.56164 1365.64111 1366.03333 1365.23425
19960225 1360.54510 1365.62451 1366.01587 1365.23279
19960226 1360.56006 1365.63953 1366.02808 1365.24915
19960227 1360.59521 1365.67480 1366.06323 1365.28613
19960228 1360.59703 1365.67664 1366.05591 1365.29468
